4064902,2005-05-07 13:30:00,NARCOTICS,-87.693260527,41.90753034
4065430,2005-05-07 19:50:00,NARCOTICS,-87.636732559,41.789922709
4101725,2005-05-07 20:00:00,NARCOTICS,-87.731850193,41.87879543
4071792,2005-05-08 01:00:00,NARCOTICS,-87.621011398,41.689554754
4070524,2005-05-08 07:45:00,PROSTITUTION,-87.691101812,41.808332597
4071628,2005-05-08 10:30:00,NARCOTICS,-87.694447372,41.904188983
4058986,2005-05-08 19:55:00,NARCOTICS,-87.722601149,41.88989649
4230878,2005-05-09 00:01:00,DECEPTIVE PRACTICE,-87.72741793,41.904458249
4062025,2005-05-09 00:04:00,NARCOTICS,-87.626787406,41.846363789
4060385,2005-05-09 13:45:00,NARCOTICS,-87.550024903,41.736531085
4063559,2005-05-09 16:22:20,NARCOTICS,-87.724834796,41.894469279
4063120,2005-05-09 21:05:22,NARCOTICS,-87.69747934,41.879241446
4067306,2005-05-09 23:21:37,NARCOTICS,-87.706003528,41.86295454
4072084,2005-05-10 00:14:54,PROSTITUTION,-87.737482535,41.858690194
4070870,2005-05-10 11:12:21,NARCOTICS,-87.646253981,41.78973032
4068350,2005-05-10 12:03:09,NARCOTICS,-87.645479012,41.955590743
4069076,2005-05-10 14:30:00,NARCOTICS,-87.655703092,41.87536367
4068865,2005-05-10 15:45:00,NARCOTICS,-87.627069839,41.852051628
4068581,2005-05-10 15:45:00,NARCOTICS,-87.722329806,41.89254873
4069104,2005-05-10 20:20:00,NARCOTICS,-87.646259732,41.789878546
4075995,2005-05-10 22:29:35,NARCOTICS,-87.637211788,41.681794251
4081393,2005-05-11 03:08:44,PROSTITUTION,-87.628801359,41.893261633
4085781,2005-05-11 06:05:13,NARCOTICS,-87.668125558,41.789889237
4058888,2005-05-11 13:07:00,OTHER OFFENSE,-87.608371773,41.80950879
4055690,2005-05-11 14:15:00,THEFT,-87.673392556,41.925082474
4074071,2005-05-11 14:16:00,NARCOTICS,-87.684314528,41.997822328
4074653,2005-05-11 20:10:00,PROSTITUTION,-87.618440277,41.819761379
4075420,2005-05-11 21:58:37,NARCOTICS,-87.662413476,41.803857358
4075673,2005-05-12 17:25:00,NARCOTICS,-87.589336206,41.736408152
4130272,2005-05-12 17:30:00,GAMBLING,-87.59950233,41.729428884
4073629,2005-05-12 18:30:00,PROSTITUTION,-87.614773063,41.756589747
4074587,2005-05-12 23:10:19,NARCOTICS,-87.664682949,41.751704315
4076853,2005-05-13 11:40:00,NARCOTICS,-87.558790387,41.741897992
4080713,2005-05-13 19:22:45,NARCOTICS,-87.61444264,41.78159369
4086568,2005-05-13 19:22:45,NARCOTICS,-87.558918221,41.749555455
4077358,2005-05-13 19:22:45,NARCOTICS,-87.581755866,41.75335429
4076199,2005-05-13 20:28:00,NARCOTICS,-87.669658337,41.857744741
4082865,2005-05-14 11:01:00,NARCOTICS,-87.630686553,41.706845957
4083217,2005-05-14 19:50:00,NARCOTICS,-87.640435828,41.669612397
4081018,2005-05-15 00:21:02,NARCOTICS,-87.626860911,41.841350479
4081176,2005-05-15 18:38:44,NARCOTICS,-87.656716237,41.771545622
4083050,2005-05-16 03:50:00,LIQUOR LAW VIOLATION,-87.721639617,41.741011483
4085260,2005-05-16 14:45:00,NARCOTICS,-87.660425607,41.995231471
4078577,2005-05-16 18:44:36,NARCOTICS,-87.722598187,41.939149955
4078505,2005-05-16 20:22:31,NARCOTICS,-87.756758376,41.940753574
4080690,2005-05-16 22:22:00,NARCOTICS,-87.675827594,41.851786766
4080547,2005-05-17 08:52:13,NARCOTICS,-87.806750832,42.001360863
4059289,2005-05-17 12:00:00,OTHER OFFENSE,-87.603840848,41.746827981
4088127,2005-05-18 07:55:00,NARCOTICS,-87.617209584,41.781374962
4086288,2005-05-18 18:45:00,NARCOTICS,-87.637679975,41.787763208
4063158,2005-05-19 00:01:00,BURGLARY,-87.674250672,41.972002474
4070981,2005-05-19 09:00:00,THEFT,-87.611616516,41.815849284
4089934,2005-05-19 12:37:42,NARCOTICS,-87.761530611,41.899446566
4088135,2005-05-19 12:40:00,NARCOTICS,-87.735580925,41.883921956
4085542,2005-05-19 17:14:45,NARCOTICS,-87.632179351,41.794530106
4085585,2005-05-19 17:43:21,NARCOTICS,-87.582634698,41.772913136
4085914,2005-05-19 18:53:41,NARCOTICS,-87.694537731,41.879271774
4093333,2005-05-19 23:39:00,NARCOTICS,-87.770102772,41.92757069
4080737,2005-05-20 09:00:00,THEFT,-87.629059469,41.886817001
4111579,2005-05-20 12:00:00,DECEPTIVE PRACTICE,-87.676410079,41.872339076
4120949,2005-05-20 13:00:00,NARCOTICS,-87.680278773,41.695409216
4093520,2005-05-20 18:14:25,GAMBLING,-87.635575414,41.668238264
4095587,2005-05-20 22:45:00,NARCOTICS,-87.696828933,41.900744471
4161937,2005-05-21 00:01:00,THEFT,-87.607731424,41.807095273
4096562,2005-05-21 00:05:00,NARCOTICS,-87.76089909,41.908463735
